AENAON – Component Integration Matrix
#,Component A (Provider),Component B (Consumer),Service Layer,Data / Payload Exchanged,Integration Type,Format,Status Partner A,Status Partner B,Comments
1,Cyber Range & ICRTP (ZELUS),Digital Twin & Virtualisation (ZELUS),SARC & Virtualisation,"Scenario environment request: scenario descriptor, topology template, exercise parameters",REST API / Internal Platform call,JSON / Scenario Description,Pending,Pending,
2,Digital Twin & Virtualisation (ZELUS),Cyber Range & ICRTP (ZELUS),SARC & Virtualisation,Instantiated virtual replicas ready for exercise; environment state and event stream,Internal Platform call,JSON,Pending,Pending,
5,Digital Twin & Virtualisation (ZELUS),xBOMGuard / CBOM Intelligence (CLX),Vulnerability Discovery & Pentesting,"SBOM / xBOM / CBOM or structured component inventory provided by DT, attached to an xBOMGuard Project/Release as BOM/Evidence.",File upload / dashboard upload / /api/v1 BOM import where agreed,CycloneDX JSON preferred; SPDX JSON secondary,Pending,Validated,CLX checked/updated
6,Digital Twin & Virtualisation (ZELUS),Pentesting (ZELUS),Vulnerability Discovery & Pentesting,"Topology and target definitions: IP ranges, service map, exposed ports, network segments",Network Access,-,Pending,Pending,
7,xBOMGuard / CBOM Intelligence (CLX),Pentesting (ZELUS),Vulnerability Discovery & Pentesting,"Prioritised software/component exposure summary and test-candidate context: affected component versions, CVEs, priority band, reason codes, dependency/blast-radius context and suggested testing focus areas.",Dashboard/report export; file exchange; /api/v1 export where agreed for V1.,Assessment JSON; CSV/PDF report; CycloneDX BOM/VDR/VEX where applicable.,Validated,Pending,V1 output supports pentesting preparation (no mandatory real-time integration or direct scanner orchestration is assumed for V1)
8,Pentesting (ZELUS),xBOMGuard / CBOM Intelligence (CLX),Vulnerability Discovery & Pentesting,"Validated pentesting findings and exploitability evidence: confirmed affected components/releases, CVE or vulnerability references, observed exploitability, severity, reproduction/evidence references and remediation notes where available.",SARIF/file import and evidence upload for V1; /api/v1 findings/evidence API where agreed.,SARIF JSON preferred for structured findings; PDF/JSON/logs/screenshots as supporting Evidence.,Pending,Validated,"xBOMGuard can ingest validated pentest results as Findings and Evidence linked to the relevant Project/Release/ComponentVersion. For V1, manual upload or structured file exchange is sufficient; direct API integration can be agreed later. Pentesting outputs inform validation and prioritisation but do not directly perform risk-acceptance decisions."
9,xBOMGuard / CBOM Intelligence (CLX),Risk Assessment Platform (PRV),TRA,"Software/component exposure summary for in-scope projects/releases: affected component versions, vulnerabilities, xBOMGuard priority, dependency/blast-radius context and evidence references.",File export / REST API,CycloneDX 1.6 BOM + prioritised vulnerability/exposure overlay,Pending,Validated,Manual evidence upload or structured file exchange is sufficient for V1; direct REST integration is optional and subject to agreement.
10,Pentesting (ZELUS),Risk Assessment Platform (PRV),TRA,"Vulnerability evidence: validated exploit findings, affected assets, CVSS scores, attack paths",File Export / REST API,JSON / CycloneDX,Pending,Validated,"V1 provides software/component exposure intelligence, not a complete operational asset-risk inventory. Consumption by RAP can be manual or file/API-based if agreed."
11,PolemAIrchOS CTI/SCTIP (ENDO),Risk Assessment Platform (PRV),TRA,"Threat context: active threat actors, TTPs mapped to asset types, campaign intelligence",REST API,STIX 2.1,Validated,Validated,
12,PolemAIrchOS CTI/SCTIP (ENDO),Threat Hunting & Exposure Workbench (CLX),RMCM,"Threat context for hypothesis generation: relevant threat actors, TTPs, IoCs, campaign notes and MITRE ATT&CK mappings.",REST API (to be confirmed; could be manual file exchange for V1),STIX 2.1 where available; JSON/CSV/Markdown summaries; MITRE ATT&CK technique IDs,Pending,Validated,THM uses CTI context out-of-band to prepare hunt hypotheses and Kestrel-compatible hunt packs. We have to decide if we want real-time CTI ingestion for V1.
13,PolemAIrchOS CTI/SCTIP (ENDO),Threat Detection & Incident Response (PRV),RMCM,"CTI feeds: detection-relevant IOCs, watchlists, Sigma rules enriched with threat context",REST API,STIX 2.1 + SIGMA rules (YAML),Pending,Pending,
14,Risk Assessment Platform (PRV),Threat Hunting & Exposure Workbench (CLX),RMCM,Prioritised risk scenarios and exposure context to guide threat-hunting scope and hypothesis selection.,Manual/file exchange for V1; optional API later if agreed,JSON/CSV/PDF scenario summary,Pending,Validated,"For D3.1 (V1), risk context may be reviewed by users and manually reflected in hunt hypotheses."
